MOVEMENTID,ToolingCode,TotalVolume
117,ELM.RCT.230,1.00
117,HID.CIL.CHP,1.00
117,MAN.ELC.D15,2.00
117,HID.BMB.SIM,1.00
117,MAN.ELC.D20,2.00
117,HID.CIL.CHS,1.00
117,MAN.ELC.P15,2.00
117,HID.CIL.FUR,1.00
117,MAN.ELC.P75,2.00
119,ELM.RCT.125,1.00
121,ELM.APS.APS,1.00
121,ELM.EXT.ETS,3.00
121,ELM.RCT.125,2.00
121,ELM.RCT.180,1.00
121,MAN.ELC.D05,1.00
121,MAN.ELC.P75,1.00
122,ELM.ILU.PBT,1.00
124,ELM.RCT.125,1.00
124,HID.CIL.CHS,3.00
124,MAN.ELC.D20,4.00
124,ELM.EXT.ETS,5.00
124,HID.BMB.SIM,1.00
124,MAN.ELC.D30,2.00
124,ELM.RCT.RBL,1.00
124,MAN.ELC.D15,4.00
124,MAN.ELC.P15,4.00
124,MAN.ELC.P75,4.00
127,HID.BMB.SIM,1.00
127,MAN.ELC.P75,1.00
127,HID.CIL.CHS,5.00
128,ELM.APS.APS,1.00
131,ELM.EXT.ETS,4.00
131,ELM.APS.APS,1.00
131,ELM.RCT.230,1.00
131,GAS.OXI.MNG,1.00
131,ELM.RCT.125,2.00
132,ELM.CHI.CEE,2.00
132,ELM.RCT.125,2.00
132,ELM.EXT.ETS,4.00
132,HID.CIL.CHP,1.00
132,MAN.ELC.P15,2.00
132,HID.CIL.CHS,1.00
132,MAN.ELC.D05,1.00
132,MAN.ELC.D10,2.00
133,ELM.RCT.125,1.00
133,ELM.EXT.ETS,2.00
141,ELM.EXT.ETS,2.00
141,MAN.ELC.D10,1.00
141,ELM.RCT.230,1.00
141,ELM.RCT.125,1.00
141,MAN.ELC.P15,2.00
141,MAN.ELC.D05,2.00
144,GAS.OXI.MNG,1.00
144,ELM.EXT.ETS,3.00
144,MAN.ELC.D20,1.00
144,ELM.RCT.125,4.00
144,ELM.RCT.180,1.00
144,ELT.APS.MIG,1.00
144,MAN.ELC.P75,1.00
145,ELM.EXT.ETS,2.00
145,ELM.APS.TIG,1.00
145,ELM.CHI.CEE,2.00
145,ELT.EXT.E16,2.00
145,ELM.RCT.180,1.00
145,ELT.EXT.E32,2.00
145,MAN.ELC.D20,1.00
145,ELT.APS.APS,1.00
145,ELT.CHI.C32,2.00
145,MAN.ELC.P75,3.00
146,ELM.EXT.ETS,2.00
146,ELM.RCT.RBL,1.00
146,ELM.APS.TIG,1.00
146,ELM.RCT.125,2.00
146,ELM.RCT.180,1.00
147,ELM.APS.TIG,1.00
147,ELM.EXT.ETS,2.00
147,ELM.RCT.125,2.00
147,ELM.RCT.RBL,1.00
147,ELM.RCT.180,1.00
148,ELM.RCT.125,1.00
150,ELM.APS.APS,1.00
153,ELT.APS.ARC,2.00
155,ELM.RCT.125,2.00
156,ELT.APS.MIG,1.00
159,ELM.RCT.230,2.00
159,ELM.APS.APS,1.00
159,ELM.EXT.ETS,10.00
159,ELM.RCT.125,4.00
159,ELT.CHI.C63,2.00
159,ELM.CHI.CEE,3.00
159,ELM.RCT.180,1.00
159,MAN.ELC.D05,4.00
159,MAN.ELC.P75,2.00
159,ELT.EXT.E16,2.00
159,ELT.APS.APS,1.00
159,MAN.ELC.D30,2.00
159,MAN.ELC.TRF,1.00
159,GAS.OXI.MNG,3.00
159,ELT.CHI.C32,2.00
159,MAN.ELC.D10,2.00
159,MAN.ELC.P15,2.00
164,ELM.EXT.ETS,2.00
164,ELM.APS.TIG,1.00
164,ELM.RCT.RBL,1.00
164,ELM.RCT.125,2.00
164,MAN.ELC.P75,1.00
164,ELM.RCT.180,1.00
164,MAN.ELC.D05,2.00
164,MAN.ELC.P15,1.00
166,ELM.APS.TIG,1.00
167,ELM.APS.TIG,1.00
167,ELM.RCT.125,1.00
169,MAN.ELC.D10,1.00
169,ELM.RCT.125,1.00
171,MAN.ELC.P75,1.00
175,ELM.CHI.CEE,2.00
181,ELM.APR.API,1.00
183,ELM.BRB.BMG,1.00
191,ELM.BRB.BMG,1.00
191,HID.BMB.SIM,2.00
191,ELM.APS.TIG,3.00
192,HID.CIL.CHS,1.00
192,ELM.RCT.125,4.00
192,ELM.RCT.230,1.00
193,ELM.EXT.ETS,4.00
194,ELT.APS.MIG,1.00
194,ELT.APS.ARC,2.00
194,ELT.EXT.E32,4.00
195,ELM.RCT.125,1.00
196,MAN.ELC.D30,1.00
197,ELM.APS.SAP,1.00
198,ELM.CRT.TTC,1.00
199,HID.BMB.DEF,1.00
199,HID.CIL.CHP,1.00
199,HID.CIL.CHS,2.00
200,ELM.RCT.125,3.00
201,ELM.EXT.ETS,1.00
201,ELM.APS.TIG,1.00
204,ELT.APS.ARC,1.00
204,ELM.APR.API,2.00
204,ELM.APS.APS,2.00
204,ELM.BRB.CMB,1.00
204,ELT.CHI.C63,1.00
204,ELM.EXT.ETS,6.00
204,MAN.ELC.D10,2.00
204,ELT.ASD.EXA,4.00
204,PNE.APR.API,1.00
204,ELM.RCT.125,2.00
204,ELT.EXT.E32,4.00
204,ELM.RCT.180,1.00
204,MAN.ELC.D30,2.00
204,ELM.RCT.230,1.00
204,MAN.ELC.P15,2.00
205,ELM.EXT.ETS,5.00
205,MAN.ELC.P75,2.00
205,ELM.APS.APS,2.00
205,HID.BMB.SIM,1.00
205,ELM.RCT.125,1.00
205,ELM.CHI.CEE,3.00
205,ELM.RCT.180,1.00
205,HID.CIL.CHS,2.00
205,MAN.ELC.D05,1.00
205,MAN.ELC.D10,1.00
206,ELM.BRB.CMB,4.00
206,ELM.APS.APS,4.00
206,ELM.BRB.PDR,1.00
206,ELM.EXT.ETS,12.00
206,ELM.CHI.CEE,12.00
206,ELM.RCT.230,2.00
206,ELM.RCT.125,12.00
206,ELM.RCT.RBL,1.00
208,ELM.APS.APS,1.00
208,ELM.CHI.CEE,2.00
208,ELM.RCT.125,1.00
208,ELM.EXT.ETS,3.00
211,ELM.APS.APS,1.00
211,ELM.EXT.ETS,1.00
211,ELT.ASD.EXA,2.00
211,ELM.CHI.CEE,3.00
211,MAN.ELC.D05,2.00
211,ELM.RCT.125,2.00
211,ELT.APS.ARC,1.00
211,ELM.RCT.180,2.00
211,ELT.CHI.C63,1.00
211,ELM.RCT.230,1.00
211,MAN.ELC.P15,2.00
211,MAN.ELC.P75,1.00
212,MAN.ELC.D15,2.00
212,HID.CIL.CHS,1.00
212,HID.CIL.FUR,1.00
212,HID.BMB.SIM,1.00
212,MAN.ELC.P15,2.00
212,MAN.ELC.D20,2.00
215,ELM.EXT.ETS,7.00
215,ELT.ASD.EXA,2.00
215,ELT.EXT.E32,2.00
215,ELM.APS.APS,1.00
215,MAN.ELC.P15,1.00
215,GAS.OXI.MNG,4.00
215,MAN.ELC.P75,1.00
215,ELM.RCT.125,1.00
215,MAN.ELC.D10,1.00
216,HID.CIL.CHS,1.00
217,ELT.APS.MIG,1.00
217,ELT.APS.ARC,2.00
217,GAS.OXI.MNG,1.00
217,ELT.EXT.E32,4.00
217,MAN.EMM.ALI,1.00
218,HID.CIL.CHS,1.00
219,GAS.OXI.MNG,2.00
220,ELT.EXT.E32,3.00
220,ELM.CHI.CEE,2.00
220,ELM.EXT.ETS,3.00
220,ELM.RCT.125,1.00
223,MAN.ELC.D20,2.00
224,ELM.RCT.125,1.00
225,ELM.APR.API,1.00
225,ELM.APS.APS,1.00
225,ELM.BRB.BMG,1.00
225,ELM.RCT.125,1.00
226,ELM.EXT.ETS,1.00
226,ELM.CHI.CEE,1.00
229,ELM.APS.APS,1.00
229,ELT.APS.ARC,1.00
229,ELM.APS.TIG,3.00
229,ELM.EXT.ETS,15.00
229,ELM.RCT.125,15.00
233,ELM.EXT.ETS,7.00
233,ELM.APS.APS,2.00
233,ELM.RCT.125,4.00
234,MAN.EMM.NOT,1.00
238,MAN.ELC.P15,2.00
238,MAN.ELC.P30,1.00
240,ELT.EXT.E32,2.00
240,ELT.CHI.C63,2.00
240,ELT.APS.ARC,1.00
240,ELT.CHI.C32,2.00
246,ELM.RCT.230,1.00
246,ELM.APS.APS,1.00
246,ELM.EXT.ETS,8.00
246,HID.BMB.SIM,1.00
246,ELM.RCT.125,4.00
246,HID.CIL.CHS,2.00
246,ELM.RCT.180,1.00
246,MAN.ELC.D10,2.00
246,MAN.ELC.D05,2.00
246,MAN.ELC.D20,2.00
246,MAN.ELC.D15,1.00
246,MAN.ELC.P15,2.00
246,MAN.ELC.P75,1.00
247,ELT.APS.APS,1.00
249,ELM.EXT.ETS,10.00
249,ELM.APS.APS,1.00
249,ELM.RCT.180,1.00
249,ELM.APS.TIG,1.00
249,ELM.RCT.230,1.00
249,ELM.RCT.125,2.00
250,ELM.RCT.RBL,1.00
252,ELM.EXT.ETS,4.00
254,ELM.APR.APR,1.00
255,ELM.EXT.ETS,8.00
255,ELM.APS.TIG,5.00
255,ELM.RCT.125,5.00
255,ELM.RCT.RBL,6.00
255,ELM.RCT.180,1.00
255,ELM.RCT.230,3.00
256,ELM.BRB.BAT,1.00
257,ELM.RCT.125,1.00
260,ELM.APS.APS,2.00
260,ELM.APS.TIG,1.00
263,ELM.EXT.ETS,6.00
263,ELM.RCT.230,3.00
263,ELM.RCT.125,3.00
264,ELM.EXT.ETS,1.00
265,HID.CIL.CHS,2.00
265,ELM.BRB.BAT,1.00
265,ELM.BRB.CMB,1.00
265,ELM.BRB.BMG,1.00
266,ELM.RCT.125,1.00
266,ELM.EXT.ETS,1.00
266,ELM.CHI.CEE,1.00
269,ELM.ABR.TRX,1.00
270,MAN.ELC.TRF,2.00
272,ELM.BRB.BAT,1.00
274,ELM.APS.TIG,2.00
274,ELM.RCT.125,2.00
274,ELM.EXT.ETS,1.00
274,ELM.RCT.RBL,2.00
276,ELM.EXT.ETS,7.00
279,MAN.ELC.P30,1.00
279,MAN.ELC.D05,3.00
279,MAN.ELC.D10,4.00
279,MAN.ELC.D15,1.00
279,MAN.ELC.D20,2.00
279,MAN.ELC.P15,2.00
279,MAN.ELC.P75,4.00
284,HID.CIL.CDE,1.00
286,ELM.EXT.ETS,1.00
287,ELM.CHI.CEE,1.00
288,MAN.ELC.P75,2.00
289,ELM.BRB.BMG,1.00
289,ELM.APR.API,1.00
290,MAN.ELC.P75,2.00
291,ELM.BRB.CMB,1.00
293,ELT.APS.ARC,2.00
294,ELM.RCT.125,2.00
295,ARM.CTT.CTF,1.00
296,ELM.APS.TIG,1.00
296,ELM.APS.APS,1.00
296,ELM.APR.API,12.00
296,ELM.RCT.RBL,3.00
296,ELM.BRB.CMB,1.00
296,ELM.BRB.BAT,1.00
296,ELM.CRT.TTC,1.00
296,HID.BMB.SIM,1.00
296,ELT.ASD.EXA,2.00
296,ELM.BRB.BMG,1.00
296,ELM.RCT.125,7.00
296,MAN.ELC.P30,3.00
296,ELT.EXT.E16,3.00
296,ELM.EXT.CEE,3.00
296,ELM.RCT.180,3.00
296,GAS.OXI.MNG,4.00
296,ELT.EXT.E32,1.00
296,HID.CIL.CHS,3.00
296,ELM.RCT.230,2.00
296,MAN.ELC.D10,6.00
296,ELT.APS.MIG,1.00
296,MAN.ELC.D20,2.00
296,ELT.CHI.C16,1.00
296,PNE.APR.API,3.00
296,ELT.CHI.C32,2.00
296,MAN.ELC.D05,2.00
296,MAN.ELC.D15,4.00
296,MAN.ELC.P15,4.00
296,MAN.ELC.P75,2.00
296,PNE.MNG.ARC,3.00
299,ELT.CHI.C32,1.00
300,ELT.EXT.E16,1.00
300,ELT.CHI.C32,1.00
301,ELM.APS.APS,1.00
301,ELM.BRB.BMG,1.00
301,ELM.RCT.125,7.00
301,ELM.APR.API,12.00
301,ELM.APS.TIG,1.00
301,ELM.RCT.230,2.00
301,ELT.APS.MIG,1.00
301,ELM.BRB.BAT,1.00
301,ELM.BRB.CMB,1.00
301,ELT.EXT.E32,1.00
301,ELT.CHI.C16,1.00
301,ELM.CRT.TTC,1.00
301,ELM.EXT.CEE,4.00
301,MAN.ELC.D20,2.00
301,HID.BMB.SIM,1.00
301,ELM.RCT.180,3.00
301,ELT.ASD.EXA,2.00
301,MAN.ELC.P75,1.00
301,MAN.ELC.D05,2.00
301,ELM.RCT.RBL,3.00
301,ELT.EXT.E16,3.00
301,PNE.APR.API,3.00
301,GAS.OXI.MNG,4.00
301,ELT.CHI.C32,2.00
301,HID.CIL.CHS,3.00
301,MAN.ELC.D10,5.00
301,MAN.ELC.D15,4.00
301,MAN.ELC.P15,3.00
301,MAN.ELC.P30,3.00
301,PNE.MNG.ARC,3.00
315,ELM.APS.APS,1.00
315,ELM.BRB.PDR,1.00
315,ELM.RCT.125,1.00
318,ELM.APS.APS,3.00
318,ELM.BRB.BMG,1.00
318,ELM.RCT.180,3.00
318,ELM.RCT.125,8.00
318,ELM.RCT.RBL,4.00
318,ELM.RCT.230,4.00
318,ELT.APS.APS,1.00
318,ELT.APS.MIG,1.00
331,ELT.EXT.E16,3.00
331,ELT.CHI.C16,1.00
331,ELT.APS.MIG,1.00
334,ELM.APS.APS,2.00
334,ELM.RCT.125,2.00
334,ELM.BRB.FER,1.00
334,MAN.ELC.D05,2.00
334,ELM.EXT.ETS,10.00
334,ELM.RCT.180,2.00
334,MAN.ELC.D10,1.00
338,ELM.APR.API,4.00
338,ELT.EXT.E63,2.00
338,ELM.RCT.230,3.00
338,ELM.APS.APS,2.00
338,ELM.EXT.ETS,10.00
338,ELM.CHI.CEE,5.00
338,ELT.ASD.EXA,5.00
338,ELM.ILU.PRJ,3.00
338,ELM.RCT.125,4.00
338,MAN.ELC.D20,2.00
338,ELT.APS.ARC,1.00
338,MAN.ELC.P75,3.00
338,PNE.MNG.ARC,3.00
339,GAS.OXI.MNG,1.00
340,ELM.BRB.BMG,1.00
360,ELM.APS.APS,2.00
360,ELM.APS.TIG,1.00
360,ELM.RCT.RBL,4.00
360,ELM.RCT.125,4.00
360,ELT.APS.MIG,1.00
362,MAN.ELC.D10,1.00
362,MAN.ELC.D15,1.00
363,ELM.EIA.EAR,1.00
363,ELM.EXT.ETS,2.00
366,ELM.BRB.CMB,1.00
366,ELM.BRB.BMG,1.00
368,ELM.APS.APS,1.00
368,ELM.RCT.125,1.00
368,ELM.APR.API,1.00
368,ELM.ILU.PBT,1.00
368,ELM.CHI.CEE,1.00
368,HID.BMB.SIM,1.00
368,ELM.EXT.ETS,1.00
368,ELM.RMT.MIM,1.00
368,HID.CIL.CHS,1.00
368,MAN.ELC.P75,1.00
368,HID.CIL.FUR,1.00
369,PNE.APR.API,3.00
369,ELM.RCT.230,1.00
371,ELM.EXT.ETS,1.00
371,ELM.RCT.125,1.00
371,ELM.RCT.180,1.00
372,ELM.APS.APS,1.00
373,ELM.RCT.230,1.00
373,ELM.BRB.FER,1.00
373,ELM.RCT.RBL,1.00
373,ELM.BRB.PDR,1.00
373,ELM.RCT.125,2.00
374,ELM.BRB.BAT,2.00
375,ELT.CHI.ESP,2.00
375,ELT.APS.MIG,3.00
375,ELM.CHI.ESP,4.00
375,ELT.EXT.ESP,1.00
375,ELT.EXT.E32,2.00
375,ELT.QEL.PIM,2.00
377,MAN.ELC.MCR,4.00
378,ELM.ILU.PRJ,1.00
378,ELT.ASD.EXA,4.00
378,ELM.APS.APS,1.00
378,ELM.EXT.ETS,4.00
378,ELT.APS.ARC,1.00
378,EPI.ANQ.RTR,1.00
378,ELT.CHI.C63,1.00
378,ELM.RCT.125,1.00
378,EPI.ANQ.CVA,2.00
378,MAN.ELC.D05,2.00
378,GAS.OXI.MNG,2.00
378,ELM.RCT.180,1.00
378,PNE.APR.API,1.00
378,ELT.EXT.E32,1.00
378,EPI.ARN.ARN,2.00
378,MAN.ELC.P75,2.00
378,PNE.MNG.ARC,4.00
379,ELM.APR.API,3.00
379,ELM.BRB.CMB,1.00
379,ARM.CFE.MEC,1.00
379,ELM.RCT.RBL,1.00
379,ELM.EXT.ETS,5.00
379,MAN.ELC.D30,1.00
379,ELM.ILU.PRJ,3.00
379,HID.BMB.SIM,1.00
379,ELM.RCT.125,2.00
379,MAN.ELC.P30,1.00
379,EPI.ANQ.CVA,2.00
379,ELM.RCT.180,1.00
379,EPI.ARN.ARN,2.00
379,MAN.ELC.D05,2.00
379,MAN.ELC.D15,2.00
379,MAN.ELC.P15,2.00
379,MAN.ELC.P75,2.00
380,ELM.APS.TIG,3.00
382,ELM.RCT.125,2.00
382,HID.CIL.CHS,2.00
382,ELM.ILU.PRJ,1.00
382,ELM.APR.API,2.00
382,EPI.ANQ.CVA,4.00
382,MAN.ELC.D05,2.00
382,ELM.EXT.ETS,6.00
382,MAN.ELC.D10,2.00
382,ELT.APS.APS,1.00
382,ELT.EXT.E16,1.00
382,EPI.ARN.ARN,4.00
382,MAN.ELC.P15,2.00
382,MAN.ELC.P75,2.00
383,ELM.BRB.BAT,1.00
384,HID.BMB.SIM,1.00
384,ELM.BRB.FER,1.00
384,ELM.ILU.PRJ,2.00
385,ELT.CHI.C32,1.00
387,ELM.APS.TIG,2.00
387,ELM.EXT.ETS,2.00
387,ELM.RCT.RBL,2.00
389,EPI.ANQ.CVA,3.00
389,EPI.ARN.ARN,2.00
390,ARM.CFE.MEC,12.00
391,ARM.CFE.MEC,1.00
391,ARM.CFE.ELE,2.00
397,ELM.BRB.FER,1.00
398,ELM.APS.SAP,1.00
404,ELM.EXT.ETS,4.00
404,ELM.BRB.PDR,1.00
405,ELT.QEL.PIM,1.00
406,ELM.CRT.CAR,1.00
406,ELM.ILU.P24,2.00
406,ELM.ILU.Q24,1.00
407,ELT.APS.MIG,1.00
408,ELM.APR.APR,1.00
408,ELM.RCT.125,1.00
409,HID.MTB.MVT,1.00
410,MAN.ELC.D20,1.00
410,MAN.ELC.D15,1.00
410,MAN.ELC.MNR,2.00
415,ARM.CFE.SER,20.00
416,ELM.EXT.ETS,7.00
416,MAN.ELC.P75,2.00
418,ELM.RCT.230,1.00
418,ELT.MAP.MAQ,1.00
418,GAS.OXI.MNG,6.00
420,ELM.APR.API,4.00
420,MAN.ELC.D20,2.00
420,ELM.ILU.PBT,2.00
420,ELM.APS.APS,1.00
420,ELT.APS.APS,2.00
420,ELT.EXT.E16,4.00
420,ELT.CHI.C32,2.00
420,MAN.ELC.P15,2.00
421,ELM.ELC.GUI,1.00
421,MAN.EMM.ALI,1.00
426,ELM.APS.TIG,5.00
427,ELM.RCT.125,14.00
427,ELM.RCT.180,7.00
427,ELT.ASD.EXA,8.00
427,ELM.EXT.ETS,16.00
427,MAN.ELC.D50,1.00
427,MAN.ELC.P30,3.00
427,GAS.OXI.MNG,6.00
427,ELM.RCT.230,6.00
427,ELT.EXT.E32,7.00
427,MAN.ELC.D20,6.00
428,ELM.RCT.125,2.00
428,ELM.CRT.SSB,2.00
428,ELT.PLS.PLA,1.00
429,ELM.CRT.SEC,1.00
430,ELT.ASD.EXA,2.00
431,ELM.RCT.125,1.00
431,MAN.ELC.P75,1.00
431,MAN.ELC.D10,1.00
432,ARM.CTT.CTF,1.00
435,ARM.CTT.CTF,1.00
436,ARM.CTT.CTA,1.00
439,ELM.APS.TIG,1.00
439,ELM.APS.APS,8.00
439,ARM.CFE.MEC,14.00
439,ELM.APR.API,21.00
439,ELM.BRB.CMB,2.00
439,ELM.CHI.CEE,15.00
439,ELM.BRB.BAT,4.00
439,ELM.APS.SAP,1.00
439,ELM.ILU.PBT,13.00
439,ELM.EXT.CEE,1.00
439,ELM.ILU.PRJ,6.00
439,ELM.BRB.FER,3.00
439,ELM.RCT.230,8.00
439,ELM.RMT.MIM,1.00
439,ELM.RCT.RBL,6.00
439,ELM.BRB.PDR,2.00
439,ELT.ASD.EXA,6.00
439,ELT.CHI.C63,1.00
439,HID.BMB.SIM,7.00
439,ELM.CRT.TTC,2.00
439,ELT.EXT.E16,1.00
439,PNE.APR.API,7.00
439,MAN.ELC.MNR,3.00
439,ELM.EIA.EAR,2.00
439,ELT.EXT.E32,4.00
439,ELM.EXT.ETS,28.00
439,MAN.ELC.P75,1.00
439,ELM.RCT.125,23.00
439,ELM.RCT.180,1.00
439,ELT.APS.ARC,1.00
439,ELT.CHI.C32,2.00
439,MAN.ELC.D05,5.00
439,PNE.MNG.ARC,8.00
440,ELM.BRB.PDR,1.00
440,ELM.CRT.SEC,1.00
440,ELM.BRB.ANG,1.00
444,ELM.BRB.BMG,1.00
450,ARM.CTT.CTF,1.00
453,MAN.ELC.D30,4.00
453,MAN.ELC.P15,4.00
453,ARM.CFE.MEC,2.00
454,ELM.ILU.P24,2.00
454,ELM.ILU.Q24,1.00
458,ELM.BRB.BAT,1.00
458,ELM.EXT.ETS,2.00
459,ELM.EIA.EAR,2.00
459,ARM.CFE.MEC,11.00
459,ARM.CFE.SER,13.00
459,ELT.CHI.C32,2.00
459,ELT.CHI.C16,1.00
459,ELT.CHI.C63,7.00
459,ELT.QEL.PIM,1.00
459,PNE.MNG.ARC,6.00
459,PNE.APR.API,4.00
461,ELM.RCT.RBL,2.00
461,ELM.BRB.FER,3.00
461,ELT.QEL.PIM,2.00
461,ELM.APR.API,3.00
461,ELM.ILU.PRJ,7.00
461,ELM.ILU.PBT,2.00
461,MAN.ELC.10T,2.00
461,MAN.ELC.TRF,2.00
466,ELM.RCT.RBL,1.00
466,ELM.RCT.125,2.00
467,MAN.TRA.PAT,1.00
468,ARM.CFE.SER,1.00
468,ELM.RCT.125,2.00
468,ELM.APR.API,1.00
468,ELM.ILU.PRJ,2.00
468,ELM.APR.APR,1.00
468,ELM.EXT.ETS,5.00
468,ELM.RCT.RBL,1.00
470,MAN.ELC.P75,1.00
470,ELM.BRB.BMG,1.00
478,ARM.CFE.MEC,1.00
478,ELM.APR.API,3.00
478,ELM.APS.APS,1.00
478,HID.BMB.SIM,3.00
478,ELM.BRB.BAT,1.00
478,ELM.EXT.ETS,6.00
478,ELM.RCT.RBL,1.00
478,ELM.ILU.PBT,4.00
478,ELM.CHI.CEE,2.00
478,ELM.RCT.125,2.00
478,ELM.ILU.PRJ,2.00
478,ELM.RCT.180,1.00
478,ELM.TRQ.CHA,1.00
478,EPI.ARN.ARN,3.00
478,EPI.ANQ.CVA,3.00
478,MAN.ELC.P15,2.00
478,HID.CIL.CHP,1.00
