ID,Tool
23096,"Capuz de soldador (cógula, coifa, gorro)"
23818,"Vareta TIG Aço Carbono ER 70S-6 2,4mm"
19441,"Bico contacto M8*1,4mm MIG"
15773,Manta Ignífuga 2000*1500
5160,Chave de Pancada Luneta 70
22886,Riscador Tipo Caneta 150 mm
16192,Vidro escuro p/ máscara soldar N12 108*51mm
29308,Mangueira para Argon 6mm(m)
95403,Mangueira Argon Purga Encaixe M
26717,Disco Ø 230 * 3.2mm
8204,Casaco Soldar Crute Tam. L
22842,Escova de Aço Inox
15184,"Elétrodo E309L 2,5 mm"
15187,"Elétrodo E316L 2,5 mm"
29024,Picadeira de Soldador
5364,"Chave para tubos 24"" (grifos)"
22642,"Chave Ajustável 12"" (francesa / inglesa)"
14618,"Chave Ajustável 24"" (francesa / inglesa)"
22849,Espátula/Betumadeira Pequena/Média/Grandes
5366,"Chave para tubos 18"" (grifos)"
23578,Fita Métrica 5 Metros
109372,Luvas Juba Tam. 9/10
5332,Chave de Boca-Luneta 50
16268,Chave de Boca-Luneta 41
22847,Vassoura Piaçaba Pequena
35660,Cerâmica Reforçada (Porcelana) 54N14 (Nº8)
23164,Alavanca 1200 - 1400mm
23618,Disco Ø 180 * 6mm
33015,Cunha em aço
15853,Bico corte oxi-acetileno 16/10 G1-A
23621,Disco Ø 230 * 7mm
62695,Corrente sinalização (m)
24917,Alcaiata macho M10 (Olhal de Suspensão)
24058,Pé de cabra 600mm
11402,"Cardan de impacto 3/4"""
24200,Lima paralela Murça com cabo
5161,Chave de Pancada Luneta 75
22897,Chave de Fenda p/ Parafusos 8x175(Grande)
22893,Alicate de Pressão (125-250 mm)
23120,"Redução Impacto 3/4 ""- 1/2"""
22896,"Chave de Fenda p/ Parafusos 6,5x150(Média)"
19112,Acrílico de Viseira (escuro)
22666,"Chave de Impacto 1/2"" 19 mm"
23122,"Redução Impacto 1"" - 3/4"""
23570,Nível 400 mm
11401,"Cardan de impacto 1/2"""
8205,Casaco Soldar Crute Tam. XL
22670,"Chave de Impacto 1/2"" 24 mm"
7991,"Chave de Impacto 3/4"" 46 mm"
24920,Alcaiata macho M16 (Olhal de Suspensão)
24918,Alcaiata macho M12 (Olhal de Suspensão)
32342,Difusor Gás/ Cerâmica MIG MAG para Tochas Não Refrigeradas 360
26690,Spray Desmoldante
30218,"Jogo bits sextavado 1/2"" ( 4mm - 19mm)"
5171,Chave de Pancada Boca 70
26041,Franquelete 3M
5331,Chave de Boca-Luneta 55
5356,Chave de Bocas 46-50
8256,"Fato Químico XL Tipo 3,4,5,6"
24912,Alcaiata fêmea M12 (Olhal de Suspensão)
35659,Cerâmica Reforçada (Porcelana) 54N15 (Nº7)
23622,Alicate Universal  (175 - 200 mm)
16613,Chave de Pancada Luneta 38
5329,Chave de Boca-Luneta 60
22403,Chave de Bocas 12-13
7976,"Chave de Impacto 1"" 36 mm"
22931,"Trincha Júnior 2"""
24201,Lima Meia Cana Murça com cabo
23248,Jogo Chaves Sextavada Longas Umbrako 1.5 a 10 mm
14284,Fato Tyvek Cinza Cat. 1 - XXL
14619,"Chave Ajustável 30"" (francesa / inglesa)"
5179,Chave de Bocas 36-41
23505,Alicate de Corte (150 a 200)
5181,Chave de Boca-Luneta 65
22664,"Chave de Impacto 1/2"" 17 mm"
13695,Joelheira (par)
24048,Fato Ignifugo L 210Gr
25005,Difusor Gás/Cerâmica MIGMAG para Tochas Refrigeradas 505W
38676,"Conjunto de chaves impacto curtas 1/2"" - 10, 12, 15 ,17, 19, 22, 24, 27, 30, 32"
27409,Cinta Aperto Rápido com roquete
24921,Alcaiata macho M20 (Olhal de Suspensão)
23796,Paquímetro Inox 0-155 mm
22673,"Chave de Impacto 1/2"" 30 mm"
5172,Chave de Pancada Boca 75
8208,Capacete de Proteção (3M)
23539,Folha de Lixa G80
22406,Chave de Bocas 16-17
15096,"Elétrodo E6013 2,5 mm"
24584,Lamela para Rebolo G40 40mm
5355,Chave de Bocas 41-46
30633,Ficha Schuko Macho 2P+T 16A (IP44/IP66)
34941,Paus de Giz quadrado/Cera
7996,"Chave de Impacto 3/4"" 36 mm"
19528,Bocal Cónico MIG/MAG 505 STD
22407,Chave de Bocas 18-19
24385,Esquadros médios (até 400mm)
24199,Limatão Redondo
30890,Disco Ø 230 * 6mm Premium
22978,Chave Sextavada Umbrako 14 mm
7973,"Chave de Impacto 1"" 46 mm"
23483,Chave de Estrelas Philips PH2 150x265 (médias)
23803,Maço Plástico (martelo)
22979,Chave Sextavada Umbrako 17 mm
7994,"Chave de Impacto 3/4"" 41 mm"
38723,Disco limpeza e decapante 150mm para rebolo
15104,"Elétrodo E7018 4,0 mm"
8199,Casaco Soldar Crute Tam. M
15185,"Elétrodo E309L 3,2 mm"
30086,Saca Rolamentos 2 Pernas médio
7972,"Chave de Impacto 1"" 50 mm"
33612,Broca SDS-PLUS 8x250mm
27406,Fio Sisal
8255,"Fato Químico L Tipo 3,4,5,6"
13479,Fato oleado / chuva XXL
30878,Disco Ø 180 * 1.6mm Premium
23170,Carregador de Baterias
22881,"Redução Impacto 1/2"" - 3/4"" ( Aumento)"
15854,Bico corte oxi-acetileno 20/10 G1-A
22895,"Chave de Fenda p/ Parafusos 5,5x100(Pequena)"
29157,Vidro escuro p/ máscara soldar N10 110*60
22410,Chave de Bocas 24-27
7970,"Chave de Impacto 1"" 60 mm"
23542,Folha de Lixa G120
26617,Luva Borracha (lavagens industriais) Nº10
26150,Lava mãos pasta
29158,Vidro escuro p/ máscara soldar N11 110*60mm
24922,Alcaiata macho M24 (Olhal de Suspensão)
33618,Broca SDS-PLUS 12x250mm
