ID,Tool
12434,"Jogo de Chaves de Caixa 1/2"" com roquete"
4333,Extensão 32 Amp. 4 Pinos
4331,Extensão 32 Amp. 4 Pinos
4336,Extensão 32 Amp. 4 Pinos
67856,"Conjunto de fresas Weldon HSS 12,14, 16, 18,20,22 mm"
7534,Contentor de Ferramenta Nº22
8662,Retificadora diam. 180 mm
8659,Retificadora diam. 180 mm
8815,"Aparafusadora Pneumática de Impacto 1/2"""
8816,"Aparafusadora Pneumática de Impacto 1/2"""
4283,Berbequim de ferro
4551,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4397,Extensão Tripla 220V
30077,Canga pequena (até 250)
28920,Cabo Elétrico H05V-K (FV) 1x1 AZUL
8943,Chicote CEE - Schuko Triplo
27473,Massa cobreada / anti-gripante
8009,"Chave de Impacto 3/4"" 22 mm"
87472,Catrabucha Pincel Aço Carbono
4050,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
35108,Disco borracha 125mm (prato CUBITRON)
13628,Montagem de rolamento
109465,Punção de Alinhamentos
12438,"Jogo de Chaves de Caixa 1"" com roquete"
12789,Garra apanha tubos
12472,Mangueira de Ar (branca)
12432,"Jogo de Chaves de Caixa 1/2"" com roquete"
12042,Cinta Plana 3 Ton 3 Metros
12433,"Jogo de Chaves de Caixa 1/2"" com roquete"
12437,"Jogo de Chaves de Caixa 3/4"" com roquete"
11880,Diferencial de 5 Ton
13031,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
23500,Alicate Freios Ext. Pontas Direitas 125 mm
14817,Extensão de Alicate
27810,Jogo machos manuais M16
11849,Extensão 32 Amp. 4 Pinos
114590,"Elétrodo E7018-A1 3,2 mm"
14540,Maçarico de corte (Lança de corte)
14539,Maçarico de corte (Lança de corte)
14819,Cilindro Hidráulico 5 Ton
14818,Berbequim de base magnética
14820,Garra de Chapa
23103,Chave Boca-Luneta com Roquete 17 mm
25006,Guia Fio S/ Revestimento MIG(Bicha)
8784,Diferencial de 2 Ton
8782,Diferencial de 2 Ton
4423,Bomba Hidráulica 700 bar
4345,"Aparafusadora de impacto 1/2"""
4356,Chicote CEE - Schuko Triplo
30090,Saca Rolamentos 3 Pernas grande
4350,Extensão de Alicate
36526,Vidro escuro p/ máscara soldar N12 110*60mm
14801,Chave  dinamométrica para aperto de KM's
14800,Jogo Chaves manual para aperto KM's
14816,Chicote CEE - Schuko Simples
22671,"Chave de Impacto 1/2"" 25 mm"
3707,Aparelho de Soldar / arc-air portátil
4419,Bomba Hidráulica 700 bar
14106,Compasso para tocha plasma LC65/LC105
4457,Projetor LED a bateria
8900,Diferencial de 5 Ton
5087,Chave de Luneta 25-28
6110,Extensão Tripla 220V
7989,"Chave de Impacto 1"" 19 mm"
11881,Diferencial de 5 Ton
7978,"Chave de Impacto 1"" 33 mm"
14964,Extintor Pó-Químico ABC
3570,Extensão Tripla 220V
3571,Extensão Tripla 220V
6045,Extensão Tripla 220V
8661,Retificadora diam. 180 mm
23665,Broca de Ferro HSS 8mm
23651,Broca de Ferro HSS 4.50mm
29357,Ponteira Isolada Dupla 4mm
16287,Chicote 63 Amp. 4 Pinos - 63 Amp. 5 Pinos
8940,Extensão tripla 220V
9715,"Chave multiplicadora torque 3/4"" - 3/4"""
11039,Extensão Simples 220V
24675,Pedra/ Mó Montada Cónica Média para Rebolo
9014,Extensão 32 Amp. 4 Pinos
24117,Suta Simples 120-150mm
4346,"Aparafusadora de impacto 1/2"""
4300,Extensão Tripla 220V
8664,Retificadora diam. 180 mm
5079,Chave de Luneta 14-15
8676,"Diferencial de 1,5 Ton"
4724,Chicote CEE - Schuko Triplo
23503,Alicate Freios Ext. Pontas Direitas 300 mm
22399,Chave de Bocas 6-7
9021,"Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos	"
25325,Carrapeta TIG Media WP 17/18/26 57Y03
8880,Patins 30 Ton
8706,Extensão tripla 220V
16358,Chave de Boca-Luneta 24
8333,Caixa de Ferramenta Mecânico c/ roquete
8927,Extensão de Alicate
4055,Chicote 63 Amp. 5 Pinos - 32 Amp. 4 Pinos
17429,Berbequim angular a bateria
4938,Máquina de Alinhamentos SKF
4550,Extrator / Ventilador de Ar
22891,Alicate Freios Int. Pontas Direitas 300 mm
113562,Disco 180mm Cubitron II (3M) 982C  / 1182C
30990,Mascara de soldar JBO
8934,Extensão CEE - Schuko Simples
8894,Diferencial de 2 Ton
9022,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
9013,Extensão 32 Amp. 4 Pinos
8886,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
8492,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
10043,Cinta Redonda 8 Ton 6 Metros
5220,Extensão 63 Amp. 4 Pinos
8493,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
9017,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
8889,Diferencial de 3 Ton
8930,Extensão CEE - Schuko Simples
8890,Diferencial de 3 Ton
8935,Extensão CEE - Schuko Simples
5213,Extensão 63 Amp. 4 Pinos
8899,Diferencial de 5 Ton
8908,Mangueira de Oxicorte
8896,Diferencial de 5 Ton
9012,Extensão 32 Amp. 4 Pinos
8329,Caixa de Ferramenta Mecânico c/ roquete
7968,"Chave de Impacto 1"" 70 mm"
9843,Bomba Hidráulica 700 bar
19450,Chicote 16 Amp. 4 Pinos - 32 Amp. 4 Pinos
19451,Chicote 16 Amp. 4 Pinos - 32 Amp. 4 Pinos
114776,Vidro escuro redondo p/ máscara soldar
63265,Chave Gancho Pancada 40-52
23525,Alicate para Rebitar
4245,Extensão Tripla 220V
6807,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
10036,Cinta Redonda 10 Ton 6 Metros
12502,Chicote 63 Amp. 5 Pinos - 32 Amp. 4 Pinos
12503,Chicote 63 Amp. 5 Pinos - 32 Amp. 4 Pinos
12508,Chicote 32 Amp. 5 Pinos - 16 Amp. 5 Pinos
12505,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
12509,Chicote 32 Amp. 5 Pinos - 16 Amp. 5 Pinos
4868,Extensão 32 Amp. 4 Pinos
7181,Berbequim de base magnética
30419,Lamela para Rebolo G40 50mm
14288,Luva de Soldar TIG Tam. 9 - NÃO USAR
4239,Extensão Tripla 220V- Perdido Contentor 22
4299,Extensão Tripla 220V- Perdido Contentor 22
4246,Extensão Tripla 220V- Perdido Contentor 22
12519,Chicote 16 Amp. 5 Pinos - 16 Amp. 4 Pinos
12707,Chicote CEE - Schuko Triplo
12518,Chicote 16 Amp. 5 Pinos - 16 Amp. 4 Pinos
23100,Chave Boca-Luneta com Roquete 13 mm
5040,Chave de Luneta 8-9
8332,Caixa de Ferramenta Mecânico c/ roquete
39223,Liquido Refrigerante (para semi-automáticas)
22481,Máquina de Alinhamentos de Polias SKF
14821,Garra de chapa
8823,Cilindro Hidráulico furado 20TON
31276,Alcaiata fêmea M30 (Olhal de Suspensão)
8714,Arnês de Segurança
4273,Aparelho de Soldar / Arc-air portátil
8334,Caixa de Ferramenta Mecânico c/ roquete
7542,Contentor de Ferramenta Nº30 (André Senos)
8721,Antiqueda com chicote em V com amortecedor/absorvedor
8692,Arnês de Segurança
8709,Arnês de Segurança
8698,Arnês de Segurança
8707,Arnês de Segurança
8703,Arnês de Segurança
8734,Antiqueda com chicote em V com amortecedor/absorvedor
8695,Arnês de Segurança
8725,Antiqueda com chicote em V com amortecedor/absorvedor
4232,Extensão Tripla 220V- Perdido Contentor 22
8681,Antiqueda com chicote em V com amortecedor/absorvedor
8682,Antiqueda com chicote em V com amortecedor/absorvedor
8729,Antiqueda com chicote em V com amortecedor/absorvedor
8731,Antiqueda com chicote em V com amortecedor/absorvedor
67359,Disco limpeza e decapante para Retificadora
8331,Caixa de Ferramenta Mecânico c/ roquete
4679,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
34009,Fio de marcação (Fio Blue)
4458,Projetor LED a bateria
4533,Extensão de Alicate
12507,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
8330,Caixa de Ferramenta Mecânico c/ roquete
4928,"Aparafusadora Pneumática de Impacto 3/4"""
4929,"Aparafusadora Pneumática de Impacto 3/4"""
8287,Cilindro Hidráulico 60 Ton (com travamento)
9494,Saca Rolamentos Hidraúlico
2913,Extensão de Alicate
23645,Broca de Ferro HSS 3mm
34948,Alcaiata rotativa macho M36 (Olhal de Suspensão)
8711,Arnês de Segurança
15016,Maçarico de propano
14036,Coluna de furar
15017,Maçarico de propano
14968,Esmeril
9018,"Chicote 63 Amp. 5 Pinos - 32 Amp. 5 Pinos	"
4540,Mangueira de Ar
8811,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
4403,Extensão Tripla 220V
9100,Projetor LED a bateria
8780,"Diferencial de 2 Ton	"
10427,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos
7197,Garra de Chapa
8382,"Manilha de 5/8"""
10403,Extensão 16 Amp. 4 Pinos
9224,Extrator / Ventilador de Ar
10421,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos
8400,"Manilha de 7/16"""
8379,"Manilha de 5/8"""
9255,Bomba Hidráulica SKF 150 MPa
4707,"Aparafusadora Pneumática de Impacto 1/2"""
8402,"Manilha de 7/16"""
8380,"Manilha de 5/8"""
4710,"Aparafusadora Pneumática de Impacto 1/2"""
9762,Cilindro Hidráulico 10 Ton
8393,"Manilha de 1/2"""
8395,"Manilha de 7/16"""
6498,Cilindro Hidráulico furado 30TON
10405,Extensão 16 Amp. 4 Pinos
9129,Tico-Tico a bateria (serra de recortes)
8396,"Manilha de 7/16"""
6499,Cilindro Hidráulico furado 30TON
10416,Extensão 16 Amp. 4 Pinos
10424,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos
8397,"Manilha de 7/16"""
8537,Cilindro Hidráulico de garrafa 20 T0N
8401,"Manilha de 7/16"""
10431,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
8398,"Manilha de 7/16"""
10343,"Jogo de Chaves de Caixa 1/2"" com roquete"
8365,"Manilha de 7/8"""
10344,"Jogo de Chaves de Caixa 1/2"" com roquete"
8360,"Manilha de 1"""
8356,"Manilha de 1"""
8390,"Manilha de 1/2"""
8388,"Manilha de 1/2"""
8392,"Manilha de 1/2"""
8389,"Manilha de 1/2"""
9128,Tico-Tico (serra de recortes)
8403,"Manilha de 1+1/8"""
4332,Extensão 32 Amp. 4 Pinos
4538,Mangueira de Ar
12452,Extensão tripla 220v
8877,Máquina de corte a plasma
8561,Cilindro Hidráulico 20 Ton
5174,Chave de Pancada Boca 90
15008,Cinta Plana 4 Ton 6 Metros
8327,Caixa de Ferramenta Mecânico c/ roquete
22547,Chave de Boca-Luneta 30
12613,Chicote CEE - Schuko Triplo
9066,Retificadora diam. 180 mm
23098,Chave Boca-Luneta com Roquete 10 mm
24630,Pedra/ Mó Montada Cônica Pequena para Rebolo
4784,Caixa de Ferramenta Serralheiro
8740,Antiqueda com chicote em V com amortecedor/absorvedor
10280,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10279,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10283,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10274,Alcaiata rotativa macho M12 (Olhal de Suspensão)
10282,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10281,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10286,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10258,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10257,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10270,Alcaiata rotativa macho M12 (Olhal de Suspensão)
10266,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10259,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10262,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10263,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10253,Alcaiata rotativa macho M20 (Olhal de Suspensão)
10260,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10264,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10265,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10255,Alcaiata rotativa macho M20 (Olhal de Suspensão)
10261,Alcaiata rotativa macho M16 (Olhal de Suspensão)
10248,Alcaiata rotativa macho M24 (Olhal de Suspensão)
10256,Alcaiata rotativa macho M20 (Olhal de Suspensão)
9744,Alcaiata rotativa macho M30 (Olhal de Suspensão)
9742,Alcaiata rotativa macho M30 (Olhal de Suspensão)
10246,Alcaiata rotativa macho M30 (Olhal de Suspensão)
9743,Alcaiata rotativa macho M30 (Olhal de Suspensão)
10275,Alcaiata rotativa macho M10 (Olhal de Suspensão)
10276,Alcaiata rotativa macho M10 (Olhal de Suspensão)
3207,Extensão Tripla 220V
127190,Fresa Rotativa Cónica em Bico
25317,Cerâmica Reforçada (Porcelana) 53N61S (Nº8) (Pequena)
22854,"Chave de Impacto longa 1/2"" 27 mm"
8845,Projetor LED com bateria
8895,Diferencial de 2 Ton
16732,Alicate de Arcair
13192,Chicote CEE - Schuko Triplo
4442,Monorail (carrinho de vigas)
4443,Monorail (carrinho de vigas)
4258,Retificadora diam. 180 mm
8292,Cilindro Hidráulico furado 20 Ton
4241,Extensão Tripla 220V
3471,Chicote CEE - Schuko Triplo
10212,Maçarico de corte (Lança de corte)
4933,Extensão de Alicate
21002,Abafador ruído (capacete Delta plus)
9361,Cilindro Hidráulico 20 Ton
10267,Alcaiata rotativa macho M12 (Olhal de Suspensão)
10273,Alcaiata rotativa macho M12 (Olhal de Suspensão)
10269,Alcaiata rotativa macho M12 (Olhal de Suspensão)
12588,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
101926,Apalpa Folgas SKF 729865 A e 729865 B
57082,Chave Sextavada Umbrako 22mm
8386,"Manilha de 5/8"""
12453,Saca Rolamentos Hidraúlico
4321,"Aparafusadora de impacto 1/2"""
13058,Retificadora a bateria diam. 230 mm
29341,Ponteira Isolada 0.75mm
5804,Chicote CEE - Schuko Triplo
8962,Tirfor 3200 Kg (guincho manual de cabo passante)
127191,Fresa Rotativa Cilíndrica
7030,Extensão de Alicate
9250,Diferencial de 5 Ton
22994,Chave Sextavada Umbrako Longa 12 mm
4401,Extensão Tripla 220V
8689,Extensão de Alicate
24927,Alcaiata rotativa macho M24 (Olhal de Suspensão)
63262,Chave Gancho Pancada 23-30
4543,Mangueira de Ar
4607,Chicote CEE - Schuko Simples
9427,Arnês de Segurança
10417,Extensão 16 Amp. 4 Pinos
8336,Caixa de Ferramenta Mecânico c/ roquete
10419,Extensão 16 Amp. 4 Pinos
22490,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
10420,Extensão 16 Amp. 4 Pinos
27783,Fresa WELDON HSS 24x30mm
8450,Chicote CEE - Schuko Triplo
22888,Alicate Freios Int. Pontas Direitas 125 mm
14105,Compasso para tocha plasma LC65/LC105
5359,Chicote CEE - Schuko Triplo
17535,Extintor Pó-Químico ABC
8932,Extensão CEE - Schuko Simples
20235,Projetor LED a bateria
29330,Vassoura
24289,Encerados 20m2
14051,"Jogo de Chaves de Caixa 1"" com roquete"
9965,Arnês de Segurança
24536,Medidor de Temperatura Laser/ Pirómetro/ Termómetro
27194,Cinta Plana 2 Ton 2 Metros
2935,Extensão Tripla 220V
13106,Monorail (carrinho de vigas)
23817,Vareta TIG Inox ER316L 1.6mm
4161,Cilindro Hidráulico 30Ton
12467,Extensão simples 220v
28909,"Cabo Elétrico H05V-K (FV) 0,5 AZUL/BRANCO"
23655,Broca de Ferro HSS 5.50mm
5224,Chicote 63 Amp. 4 Pinos - 63 Amp. 5 Pinos
8286,Cilindro Hidráulico 60 Ton (com travamento)
8775,Antiqueda com chicote em V com amortecedor/absorvedor
22489,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
5379,-
14147,Soprador de ar quente
14193,Estufa de Eletrodos
14192,Estufa de Eletrodos
17174,Mangueira de Ar
24540,Soprador de ar quente
15581,Extensão tripla 220V
6690,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
4549,Extrator / Ventilador de Ar
16892,Malho Anti-Chispa 3kg
30910,Pilha AAA
24125,Alicate Ajustável 250mm(Bico de Pato)
7616,Extensão Tripla 220V
12590,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
28072,Aparelho de soldar
12586,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
12591,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
12593,Chicote 63 Amp. 4 Pinos - 63 Amp. 5 Pinos
7903,Máquina de Alinhamentos SKF
15957,"Fio de Soldar ER70S-6 0,8 mm (bobine 5kg)"
22486,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
9841,Bomba Hidráulica 700 bar
27782,Fresa WELDON HSS 22x30mm
9664,Contentor de Apoio Nº24 (Albertino Santos)
14999,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
7041,Diferencial de 1 Ton
25740,Mangueira de Ar
14541,Maçarico de corte (Lança de corte)
2874,"Diferencial de 1,5 Ton"
8719,Antiqueda com chicote em V com amortecedor/absorvedor
24264,Retificadora a bateria diam. 125 mm
28784,Aparelho de soldar
9097,Retificadora a bateria diam. 125 mm
10147,Antiqueda com chicote em V com amortecedor/absorvedor
9236,Máquina de Indução Magnética
28921,Cabo Elétrico H05V-K (FV) 1x1 AZUL/BRANCO
4739,"Aparafusadora Pneumática de Impacto 1/2"""
22663,"Chave de Impacto 1/2"" 16 mm"
5076,Diferencial de 1 Ton
22655,"Chave para tubos 14"" (grifos)"
11242,Cinta Plana 3 Ton 1 Metros
27014,Cinta Plana 2 Ton 1 Metro
15468,Cinta Plana 1 Ton 3 Metros
27346,Cinta Redonda 2 Ton 4 Metros
25016,Eletrodo para Tocha Plasma 60A
23667,Broca de Ferro HSS 8.50mm
27940,Vareta TIG Aço Carbono ER 70S-6 2mm
4462,Projetor LED a bateria
23118,"Chave de Impacto Longa 3/4"" 41 mm"
15953,"Fio de Soldar ER70S-6 1,0 mm (bobines 15kg)"
23147,"Diferencial de 1,5 Ton"
8494,Extensão de Alicate
13217,Chicote CEE - Schuko Triplo
14520,Monorail
26656,Disco Ø 180 * 2.5mm
27905,Comparador Analógico (10mm)
8317,Bomba Hidráulica 700 bar
6619,Caixa de Ferramenta Mecânico
14617,"Jogo de Chaves 1"""
9723,"Jogo de Chaves de Caixa 1/2"" com roquete"
14100,Ventilador / Aquecedor
9090,"Aparafusadora de Impacto a bateria 1/2"""
7902,Extensão CEE - Schuko Simples
18020,Monorail (carrinho de vigas)
23140,"Diferencial de 1,5 Ton"
9251,Diferencial de 5 Ton
23247,Chave Sextavada Umbrako Longa 19 mm
8433,Extensão Tripla 220V
10404,Extensão 16 Amp. 4 Pinos
7253,Cilindro Hidráulico Compacto 50 Ton
8404,"Manilha de 1+1/8"""
6659,Quadro Elétrico 24V
5726,Extensão de Alicate
57083,Chave Sextavada Umbrako 24mm
7026,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
4402,Extensão Tripla 220V
9492,Berbequim de base magnética
22485,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
10294,Garra de Vigas
4233,Extensão Tripla 220V
6435,Cilindro Hidráulico de garrafa
28660,Pino / Cone de sinalização
4290,"Aparafusadora de impacto a bateria 1/2"""
30091,Saca Empanques nº1
10408,Extensão de Alicate
2823,Chicote CEE - Schuko Triplo
4722,Chicote CEE - Schuko Triplo
12718,Caixa de Ferramenta Serralheiro
10251,Alcaiata rotativa macho M20 (Olhal de Suspensão)
10272,Alcaiata rotativa macho M12 (Olhal de Suspensão)
10252,Alcaiata rotativa macho M20 (Olhal de Suspensão)
30498,Terminal de Olhal M6 Azul
10676,"Jogo de Chaves de Caixa 3/4"" com roquete"
2661,"Macaco Hidráulico 16,6 Ton"
4454,Projetor LED a bateria
20758,Compressor 90 Litros
7003,Monorail (carrinho de vigas)
4398,Extensão Tripla 220V
12436,"Jogo de Chaves de Caixa 3/4"" com roquete"
8720,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
12810,Linha de vida (horizontal)
12597,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
24050,Fato Ignifugo XXL 210Gr
8413,Mangueira de Ar
8644,Mangueira de Ar
19553,Garra apanha tubos
9842,Bomba Hidráulica 700 bar
33064,Cinta Plana 3 Ton 1 Metros
8665,Retificadora diam. 180 mm
7876,Rebolo (Retificadora direta)
30092,Saca Empanques nº2
5360,Extensão 32 Amp. 4 Pinos
4408,Mangueira de Ar
7200,Diferencial de 2 Ton
8310,Bomba Hidráulica 700 bar
8687,Arnês de Segurança
8449,Chicote CEE - Schuko Triplo
16375,Caixa Loto
9894,Cinta Redonda 8 Ton 5 Metros
4056,Chicote 63 Amp. 5 Pinos - 32 Amp. 5 Pinos
8844,Projetor LED com bateria
10325,Extensão 32 Amp. 4 Pinos
8708,Arnês de Segurança
4732,Projetor 24V
10008,Chicote CEE - Schuko Simples
9196,Aparelho de soldar semi-automático portátil
5548,"Berbequim pedra / ferro	"
14210,Estufa de Eletrodos
24120,Alicate para curvar Tubos 8mm
14217,Estufa de Eletrodos
14025,Garra de Vigas
10985,Projetor LED a bateria
8399,"Manilha de 7/16"""
8226,Mangueira de ar (branca)
7964,"Chave de Impacto 1"" 90 mm"
10426,Chicote 32 Amp. 4 Pinos - 32 Amp. 5 Pinos
16600,Cilindro Hidráulico furado 30 Ton
3252,Retificadora a bateria diam. 125 mm
12592,Chicote 63 Amp. 5 Pinos - 32 Amp. 5 Pinos
19619,Maçarico de calor
5707,Extensão Tripla 220V
8790,Diferencial de 3 Ton
8685,Arnês de Segurança
22350,Extensão Tripla 220V
17122,Mangueira de Ar
4617,Chicote 16 Amp. 5 Pinos - 16 Amp. 4 Pinos
20753,"Diferencial de 1,5 Ton"
17777,Cinta Plana 2 Ton 1 Metros
20500,Cinta Plana 1 Ton 2 Metros
17739,Cinta Plana 1 Ton 1 Metro (fina)
20504,"Cinta Plana 1 Ton 1,5 Metros"
20751,"Diferencial de 1,5 Ton"
20541,Cinta Plana 3 Ton 3 Metros
13559,"Cinta Plana 3 Ton 1,5 Metros"
20505,"Cinta Plana 1 Ton 1,5 Metros"
20542,Cinta Plana 3 Ton 3 Metros
9997,Antiqueda com chicote em V com amortecedor/absorvedor
19711,Extintor Pó-Químico ABC
20539,Cinta Plana 3 Ton 3 Metros
17734,Cinta Plana 1 Ton 1 Metro (fina)
20747,Diferencial de 2 Ton
20799,Contentor de Ferramenta Nº34
20748,"Diferencial de 1,5 Ton"
13881,"Manilha de 5/8"""
13437,Lança dar calor
16853,"Jogo chaves impacto curtas/longas 1/2"" ( 8 à 32mm)"
5716,"Aparafusadora Pneumática de Impacto 3/4"""
12501,Chicote 63 Amp. 5 Pinos - 32 Amp. 5 Pinos
5037,Chave de Luneta 6-7
4901,Cilindro Hidráulico 10 Ton
3982,Berbequim de ferro
4187,Bomba Hidráulica
10284,Alcaiata rotativa macho M10 (Olhal de Suspensão)
8733,Antiqueda com chicote em V com amortecedor/absorvedor
7254,Cilindro Hidráulico furado 20 Ton
9062,Retificadora diam. 180 mm
5023,Cilindro Hidráulico 30 Ton
7700,"Aparafusadora Pneumática de Impacto 3/4"""
30502,Terminal de Olhal M6 Amarelo
5755,Monorail (carrinho de vigas)
8892,Diferencial de 3 Ton
5085,Chave de Luneta 21-23
12595,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
2844,Chicote CEE - Schuko Triplo
34472,Mascara de Soldar Cabedal
23159,Diferencial de 1 Ton
13664,Cinta Plana 12 Ton 5 Metros
19563,Mangueira de Oxicorte
8736,Antiqueda com chicote em V com amortecedor/absorvedor
9115,Rebolo (Retificadora direta)
28942,Cabo Elétrico H05V-K (FV) 1x1 VERDE/AMARELO
19805,"Jogo de Chaves de Caixa 1/2"" com roquete"
9741,Antiqueda retrátil
4024,Extensão Tripla 220V
34426,Bucha Química 300ml
16871,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)"
4410,Máquina de lavagem de água quente
10271,Alcaiata rotativa macho M12 (Olhal de Suspensão)
9065,Retificadora diam. 180 mm
8564,Cilindro Hidráulico 50 Ton
33048,Cinta Plana 2 Ton 1 Metros
6876,"Chave multiplicadora torque 3/4""-1"""
9895,Cinta Redonda 8 Ton 5 Metros
3225,Cilindro Hidráulico
12510,Chicote 32 Amp. 5 Pinos - 16 Amp. 5 Pinos
8924,Extensão de Alicate
8922,Extensão de Alicate
12470,Extensão Tripla 220V
6312,Antiqueda com chicote em V com amortecedor/absorvedor
9966,Arnês de Segurança
23576,Nível 1200 mm
9059,Retificadora diam. 180 mm
9091,"Aparafusadora de Impacto a bateria 1/2"""
30093,Saca Empanques nº3
9089,"Aparafusadora de impacto a bateria 1/2"""
11852,Extensão 32 Amp. 4 Pinos - Perdido Contetor 22 27-12-2023
23579,Fita Métrica 8 Metros
29948,Bico corte oxi-acetileno 10/10 G1-A
9818,"Jogo de Chaves de Caixa 1/2"" com roquete"
3184,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
14508,"Aparafusadora de impacto 1"""
4188,Mangueira de Ar
27653,Jogo machos manuais M10
24538,Armação Rolo de Pintura pequeno
22996,Chave Sextavada Umbrako Longa 17 mm
9434,Arnês de Segurança
8727,Antiqueda com chicote em V com amortecedor/absorvedor
8739,Antiqueda com chicote em V com amortecedor/absorvedor
9722,"Jogo de Chaves de Caixa 1/2"" com roquete"
19935,Mangueira de Oxicorte
5590,Caixa de Ferramenta Mecânico
13828,Baú de arrumação
8337,Caixa de Ferramenta Mecânico c/ roquete
4214,Extensão CEE 16 Amp.
8189,Extensão CEE 16 Amp.
3632,Chicote CEE - Schuko Triplo
9011,Extensão 16 Amp. 4 Pinos
8951,Extensão 16 Amp. 4 Pinos
8923,Extensão de Alicate
38530,Chicote CEE - Schuko Triplo
8959,Extensão 16 Amp. 4 Pinos
8919,Mangueira de Ar
8921,Extensão de Alicate
9016,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
8911,Mangueira de Ar
5221,Extensão 63 Amp. 4 Pinos
8955,Extensão 16 Amp. 4 Pinos
8931,Extensão CEE - Schuko Simples
9020,"Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos	"
8779,Diferencial de 2 Ton
3182,Chicote 63 Amp. 5 Pinos - 32 Amp. 4 Pinos
31548,Fio de Soldar ER309LSi 1.2mm(bobine 15kg)
27253,Catrabucha Inox Reb. 125 Entrançada Taça
6489,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
31890,Cinta Redonda 10 Ton 6 Metros
7196,Garra de Chapa
8498,Extensão de Alicate
9904,"Arnês de Segurança	"
10434,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos
8696,Arnês de Segurança
9356,Bomba Hidráulica 700 bar
4106,Caixa de Ferramenta Mecânico
9763,Cilindro Hidráulico 10 Ton
24926,Alcaiata rotativa macho M20 (Olhal de Suspensão)
8688,Arnês de Segurança
25329,Aparelho de Soldar / Arc-air
4699,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)"
14867,Caixa de Ferramenta Mecânico
11949,Cilindro Hidráulico 10 Ton
5743,Chicote CEE - Schuko Triplo
13195,Chicote CEE - Schuko Triplo
7217,Extensão 32 Amp. 4 Pinos
6640,Diferencial de 3 Ton
9009,Extensão 16 Amp. 4 Pinos
12445,Carro duplo de transporte de gás
8956,Extensão 16 Amp. 4 Pinos
39881,Chicote CEE - Schuko Triplo
12444,Carro duplo de transporte de gás
