MOVEMENTID,ToolID,Tool,TotalVolume
80965,126787,Medidor de tensão de correias,1.00
80965,134183,"Cinta Plana 2 Ton 1,5 Metros",1.00
80965,130876,Chicote CEE - Schuko Triplo,1.00
80965,134190,"Cinta Plana 2 Ton 1,5 Metros",1.00
80965,132777,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
80965,139505,Extensão Tripla 230V,1.00
80560,7539,Contentor de Ferramenta Nº27,1.00
79254,5276,Tabuleiro,2.00
78705,126756,Manómetro para Teste Hidráulico 0-16 bar,1.00
78705,88741,Manómetro para teste hidráulico (0+25bar),1.00
78705,126019,Manómetro para teste hidráulico 0-40 bar,1.00
78065,14558,Extintor Pó-Químico ABC,1.00
78065,15005,Extintor Pó-Químico ABC,1.00
78065,87261,Gerador a Diesel,1.00
77548,5952,Aparelho de soldar TIG,1.00
77548,8195,Luvas pele (mecânico) Tam. 10,12.00
77548,8194,Luvas pele (mecânico) Tam. 9,12.00
77548,39231,Alicate de Soldar completo,1.00
77548,6231,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77548,10085,Berbequim de ferro,1.00
77548,23649,Broca de Ferro HSS 4mm,10.00
77548,102783,Berbequim pedra a bateria,1.00
77548,19492,Disco Ø 125 * 1mm,50.00
77548,15187,"Elétrodo E316L 2,5 mm",4.20
77548,34099,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77548,102950,Retificadora diam. 125 mm,1.00
77548,23653,Broca de Ferro HSS 5mm,10.00
77548,16913,Aloquete/Cadeado metálico 30mm,2.00
77548,106654,Retificadora diam. 125 mm,1.00
77548,124906,Arnês de Segurança,1.00
77548,33613,Broca SDS-PLUS 10x250mm,2.00
77548,33612,Broca SDS-PLUS 8x250mm,2.00
77548,108373,Arnês de Segurança,1.00
77548,136045,Extensão Tripla 230V,1.00
77548,39230,Alicate de Massa Completo,1.00
77548,119547,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77548,114504,Extensão Tripla 220V,1.00
77548,136659,Chicote CEE - Schuko Triplo,1.00
77548,53949,Caixa de Ferramenta Serralheiro,1.00
77548,136671,Baú de Arrumação,1.00
77548,136046,Extensão Tripla 230V,1.00
77548,136691,Extensão Tripla 230V,1.00
77548,98039,Arnês de Segurança,1.00
77548,136666,Baú de Arrumação,1.00
77548,118944,Berbequim a Bateria,1.00
77548,136685,Extensão Tripla 230V,1.00
77548,136040,Extensão Tripla 230V,1.00
77417,15773,Manta Ignífuga 2000*1500,8.00
77417,11225,Mascara de soldar Baby Fibra,0.01
77417,5230,Manómetro de Árgon / CO2 (Protar - Azoto),1.00
77417,15552,Disco Lamelas Ø 125 G60,20.00
77417,15860,Disco Lamelas Ø 125 G80,20.00
77417,23509,Martelo com Batente Redondo e Pena Esférica (Martelo Bola),1.00
77417,5233,Debitómetro / Fluxómetro de coluna de esfera,1.00
77417,24626,Pedra/ Mó Montada Cilíndrica Pequena para Rebolo,5.00
77417,22640,"Chave Ajustável 8"" (francesa / inglesa)",1.00
77417,24630,Pedra/ Mó Montada Cônica Pequena para Rebolo,5.00
77417,14169,Estufa de Eletrodos,1.00
77417,25307,"Pinça Gás-Lens 2,4MM 10N24",2.00
77417,24484,Elétrodo Tungsténio 2.4mm,3.00
77417,24675,Pedra/ Mó Montada Cónica Média para Rebolo,5.00
77417,15859,Disco Lamelas Ø 125 G40,20.00
77417,129411,Chicote Schuko Macho - CEE Fêmea,1.00
77417,24629,Pedra/ Mó Montada Cilíndrica Grande para Rebolo,5.00
77417,26703,Carrapeta TIG Pequena WP 17/18/26 57Y04,1.00
77417,16913,Aloquete/Cadeado metálico 30mm,1.00
77417,131914,Baú de Arrumação,1.00
77417,24908,Escopro/Talhadeira 25x220mm (Grande),1.00
77417,27403,Difusor Gás-Lens TIG 2.4mm 45V26,2.00
77417,22841,Escova de Aço,1.00
77417,136641,Chicote CEE - Schuko Triplo,1.00
77417,25323,Carrapeta TIG Longa WP 17/18/26 57Y02,1.00
77417,107279,Máquina de chanfrar,1.00
77417,24628,Pedra/ Mó Montada Cilíndrica Média para Rebolo,5.00
77417,118059,Extensão Tripla 230V,1.00
77417,39230,Alicate de Massa Completo,1.00
77417,130281,Tocha TIG (Holch),1.00
77417,24676,Pedra/ Mó Montada Cónica Grande para Rebolo,1.00
77417,87255,Disco 125mm Cubitron II (3M) 982C / 1182C,50.00
77417,25325,Carrapeta TIG Media WP 17/18/26 57Y03,1.00
77417,95169,Mangueira Argon Encaixe M/F,7.00
77417,27703,Marcador a Óleo,6.00
77417,103646,Estufa de eletrodos,1.00
77417,35108,Disco borracha 125mm (prato CUBITRON),2.00
77417,118465,Retificadora diam. 125 mm,1.00
77417,39231,Alicate de Soldar completo,1.00
77417,130334,Aparelho de soldar TIG,1.00
77417,89275,Estufa de eletrodos,1.00
77417,95403,Mangueira Argon Purga Encaixe M,1.00
77356,5230,Manómetro de Árgon / CO2 (Protar - Azoto),2.00
77356,4752,"Aparafusadora de impacto 1/2""",1.00
77356,5233,Debitómetro / Fluxómetro de coluna de esfera,2.00
77356,5274,Balde,4.00
77356,7309,Grampo médio  - 500mm a 600mm,4.00
77356,4762,Projetor 24V,1.00
77356,5509,Projetor 24V,1.00
77356,6681,Quadro Elétrico 24V,1.00
