ID,NAME,SUBFAMILYID
2430,Retificadora diam. 125 mm,863
2431,Máquina Caroteadora,936
2432,Berbequim Angular,937
2434,Aparelho de soldar,527
2435,Retificadora diam. 125 mm,863
2436,Retificadora diam. 125 mm,863
2437,Retificadora diam. 125 mm,863
2438,Retificadora diam. 125 mm,863
2439,Aparelho de soldar,527
2440,Rebolo (Retificadora direta),843
2441,Retificadora diam. 230 mm,866
2442,Retificadora diam. 125mm,863
2443,Aparelho de soldar,527
2444,Retificadora diam. 125 mm,863
2445,Retificadora diam. 180 mm,864
2446,Retificadora diam. 230 mm,866
2447,Retificadora diam. 230 mm,866
2448,Rebolo (Retificadora direta),843
2449,Retificadora diam. 125mm,863
2450,Retificadora diam. 230 mm,866
2451,Retificadora diam. 180 mm,864
2452,Retificadora diam. 125 mm,863
2453,Retificadora diam. 125 mm,863
2454,Retificadora diam. 125 mm,863
2455,Retificadora diam. 230 mm,866
2456,Retificadora diam. 230 mm,866
2457,Retificadora diam. 230 mm,866
2458,Rebolo (Retificadora direta) compacto,843
2459,Retificadora diam. 180 mm,864
2461,Retificadora diam. 180 mm,864
2462,Retificadora diam. 180 mm,864
2465,Retificadora diam. 125 mm,863
2466,Retificadora diam. 125 mm,863
2467,Retificadora diam. 125 mm,863
2469,Retificadora diam. 125 mm,863
2470,Retificadora diam. 180 mm,864
2471,Retificadora diam. 180 mm,864
2472,Aparelho de soldar semi-automático,762
2473,Aparelho de soldar semi-automático,762
2474,Aparelho de soldar semi-automático,762
2475,Aparelho de soldar semi-automático,762
2477,Aparelho de soldar semi-automático,762
2480,Aparelho de soldar a TIG,904
2481,Aparelho de soldar TIG,904
2483,Aparelho de soldar TIG,904
2484,Retificadora diam. 230 mm,866
2485,Projetor LED 30W,830
2487,Aparelho de soldar TIG,904
2488,Aparelho de soldar TIG,904
2489,Aparelho de soldar TIG,904
2490,Mangueira de oxicorte,770
2491,Berbequim de base magnética,545
2492,Berbequim de base magnética,545
2494,Berbequim a bateria,538
2495,Berbequim pedra / ferro,599
2496,Tico-Tico (serra de recortes),915
2497,Projetor LED 30W,830
2498,Retificadora diam. 125 mm,863
2499,Retificadora diam. 125 mm,863
2501,Rebolo (Retificadora direta),843
2502,Retificadora diam. 230 mm,866
2503,Retificadora diam. 230 mm,866
2504,Berbequim de base magnética,545
2505,Aparelho de soldar,527
2506,Aparelho de soldar semi-automático portátil,870
2508,Aparelho de soldar TIG (com VRD),904
2511,Compressor 290 litros,939
2512,Compressor 8 bar,939
2513,Retificadora diam. 180 mm,864
2514,Retificadora diam. 180 mm - MANUEL NEVES,864
2515,Retificadora diam. 230 mm,866
2516,Retificadora diam. 230 mm,866
2517,Retificadora diam. 230 mm,866
2518,Retificadora diam. 230 mm,866
2519,Rebolo (retificadora direta),843
2520,Rebolo (retificadora direta),843
2521,Rebolo (retificadora direta),843
2522,Rebolo (retificadora direta),843
2523,Rebolo (retificadora direta),843
2524,Rebolo (retificadora direta),843
2525,Retificadora diam. 125 mm,863
